IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.20.159.216,4,4,0.00,184.25,0.00
104.23.110.42,4,4,0.00,184.39,0.00
104.18.130.24,4,4,0.00,184.60,0.00
104.24.177.161,4,4,0.00,184.63,0.00
172.65.111.170,4,4,0.00,184.67,0.00
104.20.47.250,4,4,0.00,184.70,0.00
104.20.72.234,4,4,0.00,184.78,0.00
172.66.166.223,4,4,0.00,184.78,0.00
104.20.4.30,4,4,0.00,184.81,0.00
172.67.17.81,4,4,0.00,184.83,0.00
104.26.0.84,4,4,0.00,184.94,0.00
104.22.66.231,4,4,0.00,184.99,0.00
172.66.143.22,4,4,0.00,185.06,0.00
104.16.14.242,4,4,0.00,185.10,0.00
172.66.206.182,4,4,0.00,185.11,0.00
104.19.214.251,4,4,0.00,185.18,0.00
104.24.48.30,4,4,0.00,185.21,0.00
104.20.3.162,4,4,0.00,185.21,0.00
104.25.165.199,4,4,0.00,185.22,0.00
104.20.56.157,4,4,0.00,185.23,0.00
104.22.77.253,4,4,0.00,185.36,0.00
104.22.34.67,4,4,0.00,185.45,0.00
104.18.227.216,4,4,0.00,185.55,0.00
172.67.96.23,4,4,0.00,185.71,0.00
172.65.100.216,4,4,0.00,185.72,0.00
172.66.157.130,4,4,0.00,185.78,0.00
104.27.198.116,4,4,0.00,185.80,0.00
198.41.216.25,4,4,0.00,185.96,0.00
104.25.24.72,4,4,0.00,185.99,0.00
172.67.66.122,4,4,0.00,186.00,0.00
104.20.152.6,4,4,0.00,186.12,0.00
104.25.193.137,4,4,0.00,186.19,0.00
104.16.136.156,4,4,0.00,186.22,0.00
172.67.124.89,4,4,0.00,186.37,0.00
104.24.25.134,4,4,0.00,186.44,0.00
172.67.11.114,4,4,0.00,186.59,0.00
172.67.108.83,4,4,0.00,186.61,0.00
172.67.16.243,4,4,0.00,186.63,0.00
104.24.138.191,4,4,0.00,186.70,0.00
104.27.1.208,4,4,0.00,186.78,0.00
104.27.122.3,4,4,0.00,186.96,0.00
104.23.129.116,4,4,0.00,186.99,0.00
104.25.237.254,4,4,0.00,187.02,0.00
